#wavelength 2.35
#field 0.0 0.0 5.0
#   ttheta     IntUP    sIntUP   IntDOWN  sIntDOWN
 100.80   0.89287   0.01956   0.86930   0.01940
 101.00   0.91346   0.01984   0.89674   0.01966
 101.20   0.92528   0.02002   0.92673   0.02002
 101.40   0.95688   0.02032   0.93818   0.02016
 101.60   0.98495   0.02064   0.91155   0.02010
 101.80   0.96534   0.02048   0.95932   0.02048
 102.00   1.00609   0.02100   0.96265   0.02063
 102.20   1.02374   0.02122   1.00517   0.02108
 102.40   1.05057   0.02133   1.03011   0.02124
 102.60   1.07501   0.02180   1.08923   0.02198
 102.80   1.14392   0.02231   1.11567   0.02219
 103.00   1.22867   0.02298   1.14707   0.02254
 103.20   1.31755   0.02350   1.20466   0.02283
 103.40   1.36344   0.02398   1.30518   0.02369
 103.60   1.44264   0.02449   1.33919   0.02393
 103.80   1.55000   0.02518   1.46096   0.02469
 104.00   1.69878   0.02601   1.57811   0.02546
 104.20   1.81118   0.02644   1.68329   0.02592
 104.40   1.96438   0.02746   1.81592   0.02689
 104.60   2.11940   0.02806   1.91819   0.02733
 104.80   2.23987   0.02880   2.06381   0.02813
 105.00   2.38798   0.02931   2.17178   0.02856
 105.20   2.46525   0.02983   2.22176   0.02904
 105.40   2.57589   0.03025   2.28333   0.02933
 105.60   2.62568   0.03071   2.39813   0.02992
 105.80   2.68154   0.03110   2.45126   0.03036
 106.00   2.78174   0.03134   2.46015   0.03031
 106.20   2.83026   0.03201   2.48158   0.03088
 106.40   2.83915   0.03211   2.51373   0.03107
 106.60   2.85016   0.03244   2.61435   0.03171
 106.80   2.84566   0.03245   2.46403   0.03121
 107.00   2.85739   0.03284   2.54122   0.03180
 107.20   2.74650   0.03259   2.48194   0.03171
 107.40   2.72770   0.03281   2.44913   0.03187
 107.60   2.64750   0.03279   2.36060   0.03175
 107.80   2.51750   0.03234   2.27252   0.03150
 108.00   2.38793   0.03250   2.13351   0.03155
 108.20   2.27191   0.03210   2.06954   0.03126
 108.40   2.14597   0.03196   1.88990   0.03082
 108.60   1.93951   0.03112   1.77676   0.03037
 108.80   1.80016   0.03079   1.67345   0.03021
 109.00   1.62924   0.03005   1.56659   0.02982
 109.20   1.54781   0.02989   1.43474   0.02925
 109.40   1.45173   0.02964   1.35865   0.02896
 109.60   1.35460   0.02894   1.33206   0.02874
 109.80   1.26579   0.02899   1.26981   0.02901
 110.00   1.27279   0.02901   1.20897   0.02852
 110.20   1.25237   0.02922   1.17212   0.02843
 110.40   1.28177   0.02968   1.16086   0.02871
 110.60   1.27861   0.03010   1.17258   0.02957
 110.80   1.25040   0.03018   1.14854   0.02929
 111.00   1.21862   0.03041   1.18797   0.03027
 111.20   1.24142   0.03079   1.17794   0.03041
 111.40   1.23287   0.03101   1.14746   0.03040
 111.60   1.25264   0.03189   1.16379   0.03108
 111.80   1.28779   0.03230   1.17432   0.03149
 112.00   1.31968   0.03311   1.19774   0.03215
 112.20   1.30757   0.03322   1.20666   0.03238
 112.40   1.36454   0.03428   1.19079   0.03299
 112.60   1.31283   0.03393   1.18227   0.03305
 112.80   1.30444   0.03460   1.14610   0.03322
 113.00   1.32706   0.03511   1.21566   0.03424
 113.20   1.34319   0.03542   1.18408   0.03401
 113.40   1.37666   0.03693   1.20753   0.03549
 113.60   1.40339   0.03728   1.12976   0.03475
 113.80   1.37487   0.03778   1.16712   0.03594
 114.00   1.31323   0.03733   1.16696   0.03617
 114.20   1.31994   0.03795   1.15400   0.03671
 114.40   1.29719   0.03825   1.15081   0.03671
 114.60   1.33070   0.03891   1.21257   0.03806
 114.80   1.34348   0.03990   1.16604   0.03818
 115.00   1.30715   0.03932   1.19233   0.03828
 115.20   1.27147   0.04022   1.13915   0.03892
 115.40   1.29696   0.04069   1.20552   0.03995
 115.60   1.28285   0.04164   1.18663   0.04051
 115.80   1.26826   0.04160   1.15001   0.04051
 116.00   1.23439   0.04240   1.17924   0.04172
 116.20   1.24150   0.04296   1.10749   0.04131
 116.40   1.17395   0.04290   1.08842   0.04216
 116.60   1.20297   0.04391   1.11947   0.04283
 116.80   1.19286   0.04456   1.16520   0.04385
 117.00   1.16881   0.04566   1.13434   0.04542
 117.20   1.15570   0.04589   1.13134   0.04552
 117.40   1.13660   0.04733   1.20173   0.04846
 117.60   1.14037   0.04752   1.13515   0.04762
