  h_1  k_1  l_1  iint_u_1  iint_d_1      fr_1  h_2  k_2  l_2  iint_u_2  iint_d_2      fr_2  h_3  k_3  l_3  iint_u_3  iint_d_3      fr_3      fr_mod    fr_exp   sfr_exp
    6    2   -4    34.927    49.570   0.70460   -6   -2    4    34.917    49.583   0.70422   -6    2   -4    34.917    49.583   0.70422     0.70439   0.70270   0.01740
   -8    0    4    27.335    31.003   0.88170 None None None      None      None      None    6   -2    8    32.678    36.681   0.89088     0.88700   0.87210   0.04990
   -5    1    0     2.519    16.617   0.15160    2    2   -6     2.427    15.801   0.15361    2   -2    6     2.427    15.801   0.15361     0.15265   0.10770   0.01740
    4    4   -4    37.574    58.516   0.64211   -6   -2    0    35.238    55.520   0.63469   -6    2    0    35.238    55.520   0.63469     0.63824   0.62720   0.01460
   -5    3   -4     1.026     5.508   0.18622 None None None      None      None      None   -1   -3    8     2.254     8.284   0.27208     0.24069   0.39170   0.03740
    1   -1    6     7.154     4.124   1.73471    3   -3    2     9.347     3.343   2.79580    3    3   -2     9.347     3.343   2.79580     2.24756   1.27010   0.11470
    0    4   -6     3.379    13.939   0.24242   -5    1   -4     2.886    12.962   0.22263   -5   -1    4     2.886    12.962   0.22263     0.23218   0.17220   0.02300
   -1   -1    6     7.079     4.081   1.73467    4   -2    0     4.686     5.574   0.84083    4    2    0     4.686     5.574   0.84083     1.18781   1.92810   0.22120
    3    3   -2     9.401     3.351   2.80533   -4   -2    0     4.776     5.681   0.84075   -4    2    0     4.776     5.681   0.84075     1.50532   1.34120   0.09390
    1    5   -8     4.388     7.955   0.55161   -7    1   -4     2.522     5.326   0.47352   -7   -1    4     2.522     5.326   0.47352     0.51757   0.60810   0.04620
    4    2    0     4.781     5.688   0.84048   -3   -3    2     9.465     3.377   2.80290   -3    3   -2     9.465     3.377   2.80290     1.63830   1.83120   0.20230
   -3    3   -2     9.155     3.281   2.79036 None None None      None      None      None   -1   -1    6     7.018     4.049   1.73343     2.16948   1.25020   0.12540
