#wavelength 1.4
#field 0. 0.  1.0
#   ttheta     IntUP    sIntUP   IntDOWN  sIntDOWN
 30.61   634788.00    796.74    637925.00    798.70
 30.65   645297.00    803.30    645312.00    803.31
 30.69   656237.00    810.08    656517.00    810.26
 30.73   650747.00    806.69    651890.00    807.40
 30.77   652181.00    807.58    652280.00    807.64
 30.81   654925.00    809.27    654518.00    809.02
 30.85   651622.00    807.23    652913.00    808.03
 30.89   646875.00    804.29    648847.00    805.51
 30.93   653667.00    808.50    655011.00    809.33
 30.97   651879.00    807.39    652016.00    807.48
 31.00   649332.00    805.81    650949.00    806.81
 31.05   648560.00    805.33    651046.00    806.87
 31.09   647894.00    804.92    649799.00    806.10
 31.12   656177.00    810.05    656878.00    810.48
 31.16   648895.00    805.54    650307.00    806.42
 31.20   651659.00    807.25    654219.00    808.84
 31.25   652617.00    807.85    652785.00    807.95
 31.29   650786.00    806.71    652404.00    807.72
 31.33   656843.00    810.46    658569.00    811.52
 31.37   651200.00    806.97    654830.00    809.22
 31.41   659843.00    812.31    663196.00    814.37
 31.45   648780.00    805.47    650976.00    806.83
 31.49   656222.00    810.08    658412.00    811.43
 31.53   656306.00    810.13    659442.00    812.06
 31.57   655348.00    809.54    654690.00    809.13
 31.61   661088.00    813.07    660376.00    812.64
 31.65   665510.00    815.79    667367.00    816.93
 31.69   652911.00    808.03    653988.00    808.70
 31.73   664597.00    815.23    666137.00    816.17
 31.77   656405.00    810.19    657880.00    811.10
 31.82   665134.00    815.56    665639.00    815.87
 31.86   659003.00    811.79    661221.00    813.15
 31.90   656958.00    810.53    657160.00    810.65
 31.94   654497.00    809.01    655493.00    809.63
 31.98   659891.00    812.34    662611.00    814.01
 32.02   675011.00    821.59    675959.00    822.17
 32.07   665472.00    815.76    666369.00    816.31
 32.11   662978.00    814.23    665106.00    815.54
 32.15   669034.00    817.94    670514.00    818.85
 32.19   667954.00    817.28    670198.00    818.66
 32.23   666246.00    816.24    668633.00    817.70
 32.28   663253.00    814.40    664414.00    815.12
 32.32   656428.00    810.20    657836.00    811.07
 32.36   671130.00    819.23    673697.00    820.79
 32.41   670019.00    818.55    672391.00    819.99
 32.45   659900.00    812.34    661480.00    813.31
 32.49   660452.00    812.68    664637.00    815.25
 32.54   678742.00    823.86    681731.00    825.67
 32.58   667988.00    817.31    670954.00    819.12
 32.62   655751.00    809.78    659248.00    811.94
 32.67   680155.00    824.72    682956.00    826.41
