#   ttheta       IntUP     sIntUP    IntDOWN   sIntDOWN    IntDIFF   sIntDIFF
   40.20000     750.30     750.30     579.97     579.97    170.330    750.300
   40.40000     804.67     804.67     597.22     597.22    207.450    804.670
   40.60000     846.25     846.25     588.44     588.44    257.810    846.250
   40.80000     862.32     862.32     554.72     554.72    307.590    862.320
   41.00000     842.57     842.57     501.13     501.13    341.440    842.570
   41.20000     781.13     781.13     434.05     434.05    347.080    781.130
   41.40000     681.36     681.36     361.29     361.29    320.070    681.360
   41.60000     558.26     558.26     292.53     292.53    265.730    558.260
   41.80000     435.62     435.62     238.32     238.32    197.300    435.620
   42.00000     339.39     339.39     207.97     207.97    131.420    339.390
   42.20000     290.61     290.61     207.53     207.53     83.080    290.610
   42.40000     299.59     299.59     238.06     238.06     61.530    299.590
   42.60000     362.00     362.00     294.11     294.11     67.890    362.000
   42.80000     458.21     458.21     363.16     363.16     95.050    458.210
   43.00000     557.75     557.75     427.65     427.65    130.100    557.750
   43.20000     628.97     628.97     470.18     470.18    158.790    628.970
   43.40000     650.17     650.17     479.90     479.90    170.270    650.170
   43.60000     616.84     616.84     456.60     456.60    160.230    616.840
   43.80000     541.40     541.40     409.96     409.96    131.440    541.400
   44.00000     446.15     446.15     354.37     354.37     91.780    446.150
   44.20000     353.58     353.58     302.54     302.54     51.050    353.580
   44.40000     279.05     279.05     261.14     261.14     17.910    279.050
   44.60000     228.14     228.14     230.38     230.38     -2.240    228.140
   44.80000     198.51     198.51     206.55     206.55     -8.040    198.510
   45.00000     183.82     183.82     185.41     185.41     -1.580    183.820
   45.20000     177.76     177.76     164.62     164.62     13.140    177.760
   45.40000     176.61     176.61     144.51     144.51     32.100    176.610
   45.60000     180.29     180.29     127.52     127.52     52.770    180.290
   45.80000     192.00     192.00     117.35     117.35     74.650    192.000
   46.00000     217.04     217.04     118.31     118.31     98.720    217.040
   46.20000     261.16     261.16     134.82     134.82    126.340    261.160
   46.40000     328.46     328.46     170.50     170.50    157.960    328.460
   46.60000     418.97     418.97     226.56     226.56    192.420    418.970
   46.80000     526.58     526.58     299.85     299.85    226.730    526.580
   47.00000     638.59     638.59     381.98     381.98    256.600    638.590
   47.20000     738.03     738.03     460.55     460.55    277.480    738.030
   47.40000     808.63     808.63     522.75     522.75    285.880    808.630
   47.60000     840.33     840.33     559.71     559.71    280.610    840.330
   47.80000     833.16     833.16     569.76     569.76    263.400    833.160
   48.00000     797.44     797.44     558.77     558.77    238.680    797.440
   48.20000     750.33     750.33     537.80     537.80    212.530    750.330
   48.40000     709.95     709.95     518.77     518.77    191.180    709.950
   48.60000     689.43     689.43     510.16     510.16    179.270    689.430
   48.80000     692.79     692.79     514.20     514.20    178.590    692.790
   49.00000     714.11     714.11     526.53     526.53    187.580    714.110
   49.20000     740.07     740.07     538.25     538.25    201.820    740.070
   49.40000     754.78     754.78     539.36     539.36    215.420    754.780
   49.60000     745.09     745.09     522.30     522.30    222.790    745.090
   49.80000     704.67     704.67     484.36     484.36    220.300    704.670
   50.00000     635.43     635.43     428.23     428.23    207.200    635.430
   50.20000     546.37     546.37     360.84     360.84    185.530    546.370
   50.40000     450.34     450.34     291.13     291.13    159.210    450.340
   50.60000     360.11     360.11     227.47     227.47    132.640    360.110
   50.80000     285.09     285.09     175.80     175.80    109.290    285.090
   51.00000     229.71     229.71     138.76     138.76     90.950    229.710
   51.20000     193.61     193.61     116.08     116.08     77.530    193.610
   51.40000     173.17     173.17     105.51     105.51     67.660    173.170
   51.60000     163.52     163.52     104.02     104.02     59.500    163.520
   51.80000     160.21     160.21     108.66     108.66     51.550    160.210
   52.00000     160.06     160.06     116.87     116.87     43.190    160.060
   52.20000     161.24     161.24     126.57     126.57     34.670    161.240
   52.40000     162.84     162.84     135.94     135.94     26.900    162.840
   52.60000     164.35     164.35     143.44     143.44     20.910    164.350
   52.80000     165.33     165.33     147.85     147.85     17.480    165.330
   53.00000     165.46     165.46     148.57     148.57     16.900    165.460
   53.20000     164.90     164.90     145.91     145.91     18.980    164.900
   53.40000     164.67     164.67     141.37     141.37     23.300    164.670
   53.60000     166.98     166.98     137.54     137.54     29.440    166.980
   53.80000     174.99     174.99     137.84     137.84     37.150    174.990
   54.00000     192.08     192.08     145.71     145.71     46.370    192.080
   54.20000     220.72     220.72     163.76     163.76     56.960    220.720
   54.40000     261.37     261.37     192.86     192.86     68.510    261.370
   54.60000     311.82     311.82     231.77     231.77     80.050    311.820
   54.80000     367.38     367.38     277.27     277.27     90.110    367.380
   55.00000     421.93     421.93     324.97     324.97     96.960    421.930
   55.20000     469.25     469.25     370.19     370.19     99.060    469.250
   55.40000     504.47     504.47     408.93     408.93     95.540    504.470
   55.60000     524.88     524.88     438.29     438.29     86.590    524.880
   55.80000     530.12     530.12     456.63     456.63     73.490    530.120
   56.00000     521.76     521.76     463.36     463.36     58.400    521.760
   56.20000     502.58     502.58     458.69     458.69     43.890    502.580
   56.40000     475.82     475.82     443.52     443.52     32.300    475.820
   56.60000     444.66     444.66     419.32     419.32     25.340    444.660
   56.80000     411.95     411.95     388.20     388.20     23.750    411.950
   57.00000     380.14     380.14     352.86     352.86     27.280    380.140
   57.20000     351.36     351.36     316.42     316.42     34.940    351.360
   57.40000     327.39     327.39     282.13     282.13     45.260    327.390
   57.60000     309.65     309.65     252.93     252.93     56.720    309.650
   57.80000     299.12     299.12     231.18     231.18     67.940    299.120
   58.00000     296.38     296.38     218.46     218.46     77.920    296.380
   58.20000     301.63     301.63     215.56     215.56     86.060    301.630
   58.40000     314.85     314.85     222.66     222.66     92.190    314.850
   58.60000     335.78     335.78     239.34     239.34     96.450    335.780
   58.80000     363.83     363.83     264.64     264.64     99.180    363.830
   59.00000     397.81     397.81     296.94     296.94    100.860    397.810
   59.20000     435.72     435.72     333.80     333.80    101.920    435.720
   59.40000     474.66     474.66     371.97     371.97    102.700    474.660
   59.60000     510.99     510.99     407.62     407.62    103.360    510.990
   59.80000     540.77     540.77     436.83     436.83    103.940    540.770
   60.00000     560.45     560.45     456.13     456.13    104.320    560.450
   60.20000     567.48     567.48     463.13     463.13    104.350    567.480
   60.40000     560.77     560.77     456.91     456.91    103.860    560.770
   60.60000     540.86     540.86     438.13     438.13    102.740    540.860
   60.80000     509.73     509.73     408.81     408.81    100.920    509.730
   61.00000     470.33     470.33     371.93     371.93     98.400    470.330
   61.20000     426.01     426.01     330.81     330.81     95.200    426.010
   61.40000     379.99     379.99     288.66     288.66     91.330    379.990
