#wavelength 0.84
#field 0 0 1
#    ttheta      IntUP     sIntUP    IntDOWN   sIntDOWN         un         un
   51.40000  447.83        19.32     354.02            18.90     93.897     27.033
   51.60000  513.26        19.42     340.74            18.63    171.905     26.921
   51.80000  460.48        19.29     365.78            18.86     94.830     26.975
   52.00000  478.07        19.69     385.82            19.27     92.403     27.551
   52.20000  469.20        19.64     416.23            19.40     52.969     27.609
   52.40000  457.61        19.69     420.67            19.53     36.674     27.737
   52.60000  436.64        19.66     387.20            19.42     49.869     27.640
   52.80000  469.28        19.90     363.95            19.42    105.205     27.805
   53.00000  454.48        19.45     393.31            19.17     61.155     27.311
   53.20000  433.11        19.83     384.81            19.61     48.500     27.890
   53.40000  452.99        19.92     393.66            19.66     59.638     27.991
   53.60000  460.91        20.11     385.75            19.77     74.300     28.200
   53.80000  479.42        20.05     372.58            19.56    106.827     28.016
   54.00000  514.08        20.17     406.62            19.69    107.414     28.191
   54.20000  520.71        20.18     373.26            19.53    148.697     28.085
   54.40000  556.73        20.36     444.45            19.87    112.308     28.444
   54.60000  640.13        20.93     460.57            20.15    179.834     29.052
   54.80000  772.45        21.23     619.57            20.56    153.042     29.550
   55.00000  745.57        21.06     596.61            20.42    148.858     29.337
   55.20000  827.09        21.06     654.50            20.32    172.786     29.268
   55.40000  863.20        19.97     682.19            19.24    180.906     27.732
   55.60000  816.19        19.45     712.54            19.04    103.607     27.215
   55.80000  802.26        19.82     725.82            19.50     76.299     27.808
   56.00000  762.03        19.72     668.88            19.34     93.163     27.619
   56.20000  748.92        19.44     690.69            19.19     58.125     27.322
   56.40000  764.06        19.41     674.79            19.05     89.264     27.194
   56.60000  673.13        19.15     624.78            18.95     48.364     26.946
   56.80000  658.88        18.93     591.05            18.65     68.042     26.576
   57.00000  656.83        18.95     574.08            18.59     82.743     26.546
   57.20000  647.48        19.00     549.50            18.58     98.030     26.576
   57.40000  632.71        19.01     532.24            18.58    100.583     26.589
   57.60000  579.93        18.76     485.92            18.35     93.992     26.246
   57.80000  559.33        18.67     495.27            18.41     64.329     26.221
   58.00000  578.68        18.69     409.25            17.96    169.479     25.919
   58.20000  584.81        18.83     417.08            18.11    167.744     26.127
   58.40000  575.37        19.05     432.76            18.46    142.634     26.527
   58.60000  603.54        19.11     447.21            18.45    156.365     26.564
   58.80000  640.61        19.32     474.09            18.60    166.438     26.820
   59.00000  684.90        19.35     529.04            18.68    155.865     26.895
   59.20000  710.68        19.57     544.50            18.87    165.459     27.191
   59.40000  787.38        19.55     615.82            18.84    171.141     27.153
   59.60000  809.81        20.02     642.48            19.34    167.320     27.839
   59.80000  823.77        19.97     695.08            19.44    128.713     27.865
   60.00000  826.28        20.05     698.82            19.54    127.545     27.995
   60.20000  838.05        20.14     678.24            19.49    159.816     28.025
   60.40000  754.59        19.70     635.75            19.21    118.923     27.518
   60.60000  714.59        19.58     604.37            19.14    109.951     27.386
   60.80000  688.71        19.42     583.78            19.01    105.146     27.175
   61.00000  696.51        19.61     582.59            19.13    113.808     27.393
   61.20000  675.24        19.53     569.00            19.08    105.817     27.303
   61.40000  613.01        19.43     457.24            18.76    155.770     27.010
   61.60000  637.10        19.31     470.77            18.60    166.361     26.811
   61.80000  544.48        19.14     396.37            18.50    148.253     26.621
   62.00000  516.27        18.73     352.58            18.03    163.740     26.000
   62.20000  455.27        18.93     362.03            18.51     93.185     26.475
   62.40000  474.72        19.00     379.43            18.60     95.341     26.588
   62.60000  456.16        18.89     383.13            18.55     73.025     26.477
   62.80000  466.05        18.86     356.88            18.37    109.067     26.328
   63.00000  456.94        18.38     326.35            17.84    130.370     25.616
   63.20000  440.41        18.02     354.34            17.65     85.989     25.226
   63.40000  512.77        18.29     418.84            17.88     93.928     25.580
   63.60000  488.59        18.45     414.36            18.14     74.215     25.874
   63.80000  548.22        18.59     454.19            18.17     94.051     25.997
   64.00000  630.73        18.73     492.07            18.14    138.674     26.070
   64.20000  605.66        18.78     437.66            18.07    167.889     26.063
