#wavelength 0.84
#field 0 0 1
#    ttheta      IntUP     sIntUP    IntDOWN   sIntDOWN         un         un
   70.40000    2269.64      19.93    2156.45      19.42    113.192     27.828
   70.60000    2205.03      19.65    2149.13      19.40     55.859     27.611
   70.80000    2266.71      19.91    2114.84      19.23    151.711     27.685
   71.00000    2247.44      19.82    2145.47      19.37    101.828     27.716
   71.20000    2268.70      20.39    2145.69      19.83    122.940     28.444
   71.40000    2253.92      20.31    2159.99      19.88     93.850     28.422
   71.60000    2261.98      20.36    2146.00      19.83    115.860     28.422
   71.80000    2225.30      20.20    2127.17      19.73     98.157     28.241
   72.00000    2226.91      20.21    2117.47      19.70    109.739     28.229
   72.20000    2269.48      20.39    2177.95      19.97     91.612     28.545
   72.40000    2288.94      20.73    2157.01      20.12    131.827     28.887
   72.60000    2252.56      20.83    2195.51      20.54     57.018     29.256
   72.80000    2269.91      21.14    2180.95      20.71     88.933     29.599
   73.00000    2250.19      20.82    2225.81      20.70     24.407     29.355
   73.20000    2233.88      20.74    2208.52      20.61     25.415     29.243
   73.40000    2217.29      20.65    2194.70      20.54     22.846     29.130
   73.60000    2270.67      20.34    2229.14      20.15     41.478     28.636
   73.80000    2257.74      20.81    2210.49      20.60     47.184     29.280
   74.00000    2278.97      20.90    2233.12      20.67     46.010     29.400
   74.20000    2265.43      20.85    2222.57      20.66     43.225     29.350
   74.40000    2243.39      20.75    2201.37      20.56     41.907     29.207
   74.60000    2290.61      20.98    2202.54      20.56     88.133     29.379
   74.80000    2221.73      20.63    2178.35      20.43     43.483     29.037
   75.00000    2260.79      21.10    2201.81      20.82     58.963     29.643
   75.20000    2303.92      21.57    2184.30      21.01    119.761     30.113
   75.40000    2291.55      21.52    2232.09      21.24     59.456     30.235
   75.60000    2260.69      21.38    2212.28      21.14     48.463     30.073
   75.80000    2268.73      21.39    2215.94      21.15     52.617     30.085
   76.00000    2307.05      21.59    2192.47      21.04    114.921     30.150
   76.20000    2292.57      21.53    2217.94      21.16     74.546     30.191
   76.40000    2257.74      21.93    2225.26      21.77     32.648     30.902
   76.60000    2276.60      22.02    2146.67      21.38    130.257     30.691
   76.80000    2257.82      21.94    2113.64      21.22    144.350     30.522
   77.00000    2205.12      21.69    2172.97      21.53     31.308     30.565
   77.20000    2216.99      21.76    2174.03      21.53     43.003     30.609
   77.40000    2243.19      21.85    2083.00      21.07    159.704     30.358
   77.60000    2288.85      22.41    2109.10      21.49    179.667     31.051
   77.80000    2266.86      22.60    2126.16      21.89    140.953     31.462
   78.00000    2250.16      22.52    2097.98      21.72    152.426     31.293
   78.20000    2253.27      22.55    2162.23      22.08     91.400     31.557
   78.40000    2247.79      22.50    2114.68      21.80    132.971     31.328
   78.60000    2232.64      22.41    2137.24      21.93     95.510     31.360
   78.80000    2248.49      22.52    2172.67      22.15     75.828     31.583
   79.00000    2290.68      23.39    2195.97      22.92     93.869     32.753
   79.20000    2346.62      23.68    2271.13      23.30     75.430     33.221
   79.40000    2325.88      23.59    2191.73      22.89    134.370     32.871
   79.60000    2287.13      23.39    2234.80      23.12     51.982     32.889
   79.80000    2306.62      23.49    2219.09      23.03     87.808     32.895
   80.00000    2349.97      23.69    2213.05      23.00    137.536     33.024
   80.20000    2332.72      23.99    2237.82      23.48     94.971     33.574
   80.40000    2350.89      24.45    2266.79      24.00     84.215     34.262
   80.60000    2263.86      23.98    2265.45      23.99     -1.573     33.923
   80.80000    2319.44      24.30    2260.63      24.00     58.828     34.151
   81.00000    2288.25      24.10    2197.27      23.63     91.021     33.753
   81.20000    2305.56      24.21    2213.40      23.72     92.403     33.891
   81.40000    2274.24      24.05    2234.54      23.84     39.750     33.863
   81.60000    2326.16      25.11    2174.36      24.27    151.743     34.927
   81.80000    2291.73      24.92    2246.13      24.65     45.418     35.053
   82.00000    2297.69      24.97    2206.98      24.46     91.234     34.953 
