# wavelength 2.748510 2.289620 1.935970 1.788965 1.540520 0.709260 0.559360 0.215947 0.209010 0.180195
Ho	f'	-4.028	-4.5887	-5.6628	-6.5338	-14.9734	-0.2175	-0.3168	-2.6705	-1.9886	-0.8709	f"	9.2302	6.9619	5.3451	4.7129	3.7046	4.6783	3.1241	3.1799	3.0218	2.3711
Er	f'	-3.9471	-4.4106	-5.3448	-6.0673	-9.4367	-0.2586	-0.3091	-5.5645	-2.6932	-1.0386	f"	9.7921	7.391	5.6776	5.0074	3.938	4.9576	3.3158	0.6167	3.1695	2.4949
Tm	f'	-3.9079	-4.2698	-5.0823	-5.6969	-8.0393	-0.3139	-0.3084	-2.8957	-5.6057	-1.2397	f"	10.3763	7.8385	6.0249	5.3151	4.1821	5.2483	3.5155	0.6569	0.6192	2.624
Yb	f'	-3.889	-4.1523	-4.8591	-5.394	-7.2108	-0.385	-0.3157	-2.4144	-2.919	-1.4909	f"	10.9742	8.2969	6.3813	5.6309	4.4329	5.5486	3.7229	0.6994	0.6592	2.7538
Lu	f'	-3.9056	-4.063	-4.6707	-5.136	-6.6179	-0.472	-0.3299	-2.1535	-2.4402	-1.8184	f"	11.5787	8.7649	6.7484	5.9574	4.6937	5.8584	3.9377	0.7436	0.701	2.889
Hf	f'	-4.0452	-4.0564	-4.4593	-4.9466	-6.1794	-0.583	-0.3548	-1.9785	-2.1778	-2.2909	f"	12.2546	9.2832	7.1518	6.315	4.9776	6.1852	4.1643	0.7905	0.7454	3.0246
Ta	f'	-4.0905	-3.986	-4.3912	-4.7389	5.7959	-0.7052	-0.3831	-1.8534	-2.0068	-3.1639	f"	12.9479	9.8171	7.5686	6.685	5.2718	6.5227	4.3992	0.8392	0.7915	3.161
W	f'	-4.153	-3.927	-4.2486	-4.5529	-5.4734	-0.849	-0.4201	-1.7565	-1.8819	-3.8673	f"	13.6643	10.3696	8.0005	7.0688	5.5774	6.8722	4.643	0.8905	0.8388	0.6433
Re	f'	-4.2681	-3.9052	-4.139	-4.402	-5.2083	-1.0185	-0.4693	-1.6799	-1.7868	-2.8429	f"	14.3931	10.9346	8.4435	7.4631	5.8923	7.231	4.8944	0.9441	0.8907	0.6827
Os	f'	-4.4183	-3.9016	-4.0478	-4.2711	-4.9801	-1.2165	-0.528	-1.617	-1.7107	-2.4688	f"	15.1553	11.5251	8.9067	7.8753	6.2216	7.603	5.1558	1.0001	0.9437	0.7238
Ir	f'	-4.586	-3.9049	-3.9606	-4.1463	-4.771	-1.4442	-0.5977	-1.5648	-1.6486	-2.2499	f"	15.9558	12.1453	9.3923	8.3074	6.5667	7.9887	5.4269	1.0589	0.9993	0.7669
Pt	f'	-4.8057	-3.9435	-3.8977	-4.0461	-4.5932	-1.7033	-0.6812	-1.5228	-1.5998	-2.1036	f"	16.787	12.791	9.8985	8.7578	6.9264	8.3905	5.7081	1.1193	1.0565	0.8116
Au	f'	-5.0625	-3.9908	-3.8356	-3.9461	-4.4197	-2.0133	-0.7638	-1.4693	-1.5404	-1.9775	f"	17.64	13.4551	10.4202	9.2222	7.298	8.8022	5.9978	1.1833	1.1171	0.8589
Hg	f'	-5.4327	-4.1029	-3.8228	-3.8921	-4.2923	-2.3894	-0.8801	-1.4389	-1.5055	-1.8958	f"	18.5241	14.1473	10.965	9.7076	7.6849	9.2266	6.2989	1.2483	1.1796	0.908
TI	f'	-5.8163	-4.2233	-3.8103	-3.834	-4.1627	-2.8358	-1.0117	-1.4111	-1.474	-1.8288	f"	19.4378	14.8643	11.53	10.2108	8.09	9.6688	6.609	1.3189	1.2456	0.9594
Pb	f'	-6.4779	-4.4167	-3.8519	-3.8236	-4.0753	-3.3944	-1.1676	-1.3897	-1.4497	-1.7773	f"	20.3336	15.5987	12.1106	10.7292	8.506	10.1111	6.9287	1.3909	1.3137	1.0127
Bi	f'	-7.0419	-4.6533	-3.9228	-3.8408	-4.0111	-4.1077	-1.3494	-1.3721	-1.429	-1.7346	f"	21.2196	16.3448	12.7017	11.2575	8.931	10.2566	7.2566	1.4661	1.3851	1.0685
Po	f'	-7.7195	-4.9604	-4.0267	-3.8855	-3.967	-5.121	-1.5613	-1.3584	-1.4133	-1.7005	f"	22.1974	17.141	13.3329	11.8209	9.3834	11.0496	7.5986	1.5443	1.4592	1.1266
At	f'	-8.5994	-5.3399	-4.1781	-3.9706	-3.9588	-7.9122	-1.8039	-1.354	-1.4066	-1.6784	f"	23.2213	17.939	13.9709	12.3915	9.8433	9.9777	7.9509	1.626	1.5367	1.1876
