#   ttheta       IntUP     sIntUP    IntDOWN   sIntDOWN    IntDIFF   sIntDIFF
   43.40000     989.30      26.96     771.47      26.25    213.415     29.430
   43.60000     935.56      26.81     769.68      26.06    194.529     29.191
   43.80000     858.98      26.64     627.03      26.03    205.628     28.744
   44.00000     747.31      25.76     652.17      25.39    102.771     27.839
   44.20000     612.06      25.97     564.43      25.60     76.066     27.753
   44.40000     593.74      25.65     546.79      25.53     40.864     27.508
   44.60000     530.94      25.45     509.78      25.22     41.790     27.107
   44.80000     528.63      25.25     482.66      25.22     28.505     26.966
   45.00000     469.52      25.35     447.79      25.15     39.021     26.827
   45.20000     534.29      25.10     461.73      24.92     60.832     26.708
   45.40000     525.74      25.25     430.31      24.94     90.895     26.634
   45.60000     550.94      25.51     405.92      25.16    120.623     26.974
   45.80000     506.21      25.82     415.61      25.15    137.120     27.062
   46.00000     552.60      25.64     432.12      25.04    143.476     27.026
   46.20000     553.46      25.94     416.78      25.20    171.092     27.230
   46.40000     687.62      26.02     409.55      25.29    241.815     27.488
   46.60000     788.41      26.58     516.41      25.71    261.230     28.262
   46.80000     865.62      27.02     550.92      26.16    282.264     28.913
   47.00000     989.21      27.65     619.95      26.40    367.663     29.615
   47.20000    1036.96      27.69     689.16      26.61    332.626     29.902
   47.40000    1098.85      28.00     788.79      26.89    319.581     30.432
   47.60000    1102.77      28.11     761.94      26.90    354.319     30.436
   47.80000    1075.87      27.47     812.46      26.56    269.699     29.939
   48.00000    1080.76      27.88     790.66      26.80    303.261     30.331
   48.20000     966.23      27.61     770.33      26.98    190.794     30.068
   48.40000     931.75      27.58     729.16      26.81    211.388     29.963
   48.60000     951.50      27.51     735.44      26.69    227.333     29.821
   48.80000    1002.48      27.57     735.86      26.79    246.577     29.967
   49.00000    1031.25      26.54     787.52      25.75    243.033     28.923
   49.20000    1069.00      26.57     779.36      25.74    272.238     28.995
   49.40000    1083.97      27.05     729.12      26.23    305.313     29.416
   49.60000    1064.51      26.99     790.60      25.98    289.900     29.385
   49.80000     974.36      26.82     687.06      25.88    286.558     28.934
   50.00000     951.34      26.44     648.63      25.73    256.951     28.599
   50.20000     804.20      26.43     567.45      25.59    244.897     28.176
   50.40000     714.32      25.88     488.04      25.16    219.975     27.400
   50.60000     623.51      26.31     442.29      25.63    192.570     27.674
   50.80000     586.16      26.29     364.25      25.53    221.225     27.426
   51.00000     543.88      26.06     393.46      25.76    120.032     27.425
   51.20000     488.87      25.90     351.99      25.37    145.908     27.010
   51.40000     447.83      25.88     376.00      25.49     93.897     27.033
   51.60000     513.26      25.84     349.76      25.21    171.905     26.921
   51.80000     460.48      25.80     357.26      25.52     94.830     26.975
   52.00000     478.07      26.31     370.60      26.06     92.403     27.551
   52.20000     469.20      26.28     401.83      26.14     52.969     27.609
   52.40000     457.61      26.40     409.47      26.30     36.674     27.737
