   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
  14  -13    0   2.229890   -16.123110     0.000000      16.1231   63.59676    0.00617    6
  14  -11    1   2.203922    60.054291     0.000000      60.0543   64.43577    0.08313    6
  14   -3   -1   2.203922   216.368610     0.000000      216.369   64.43577    1.07905    6
  10   -1    2   2.197985   255.486859     0.000000      255.487   64.63094    1.49466    6
  10   -9   -2   2.197985  -232.442750     0.000000      232.443   64.63094    1.23719    6
  11   -6    2   2.197985  -106.135627     0.000000      106.136   64.63094    0.25795    6
  11   -5   -2   2.197985    -0.085539     0.000000    0.0855389   64.63094    0.00000    6
  15   -3    0   2.194210    33.184604     0.000000      33.1846   64.75569    0.02511    6
  15  -12    0   2.194210    95.838242     0.000000      95.8382   64.75569    0.20945    6
  16   -8    0   2.177000   -74.206218     0.000000      74.2062   65.33101    0.12320    6
  15   -7    1   2.169455  -250.526075     0.000000      250.526   65.58671    1.39244    6
  13    0    1   2.169455  -157.840175     0.000000       157.84   65.58671    0.55272    6
  15   -8   -1   2.169455   107.243851     0.000000      107.244   65.58671    0.25516    6
  11   -3    2   2.163791   322.208250     0.000000      322.208   65.78008    2.28879    6
  11   -8   -2   2.163791  -180.526225     0.000000      180.526   65.78008    0.71848    6
  14   -2    1   2.152817   232.149516     0.000000       232.15   66.15823    1.17369    6
  14  -12   -1   2.152817  -390.158819     0.000000      390.159   66.15823    3.31513    6
  10    0   -2   2.147282  -177.952505     0.000000      177.953   66.35074    0.68539    6
  15  -10    1   2.136556   142.578161     0.000000      142.578   66.72725    0.43474    6
  15   -5   -1   2.136556  -414.607168     0.000000      414.607   66.72725    3.67615    6
  11   -9    2   2.131145   154.059483     0.000000      154.059   66.91893    0.50450    6
  11   -2   -2   2.131145   -34.031687     0.000000      34.0317   66.91893    0.02462    6
  16  -11    0   2.127703   -83.889758     0.000000      83.8898   67.04147    0.14901    6
  16   -5    0   2.127703   208.115901     0.000000      208.116   67.04147    0.91711    6
  15   -4    1   2.105109    88.350125     0.000000      88.3501   67.85811    0.16114    6
